"NTD ID","Agency Name","Time Period","num_trips","passenger_miles"
"30085","Prince George's County, Maryland","Annual Total",2884908,22422856
"30085","Prince George's County, Maryland","Average Weekday",11419,88654
"30087","County of Fayette","Annual Total",260310,3056318
"30087","County of Fayette","Average Weekday",918,10864
"30087","County of Fayette","Weekend",506,5649
"30088","County Commissioners of Charles County, MD","Annual Total",794264,5575805
"30088","County Commissioners of Charles County, MD","Average Weekday",2717,19121
"30088","County Commissioners of Charles County, MD","Weekend",2051,14196
"30089","Monongalia County Urban Mass Transit Authority","Annual Total",1008556,0
"30090","Eastern Panhandle Transit Authority","Annual Total",221537,0
"30091","Town of Blacksburg","Annual Total",4057334,6971379
"30091","Town of Blacksburg","Average Weekday",14755,24949
"30091","Town of Blacksburg","Weekend",4481,9237
"30092","The County Commissioners of Carroll County, Maryland","Annual Total",157204,0
"30093","City of Hazleton","Annual Total",203701,0
"30094","City of Harrisonburg Department of Public Transportation","Annual Total",2116785,4528415
"30094","City of Harrisonburg Department of Public Transportation","Average Weekday",7823,16491
"30094","City of Harrisonburg Department of Public Transportation","Weekend",2701,6994
"30095","County of Lebanon Transit Authority","Annual Total",355365,2188748
"30095","County of Lebanon Transit Authority","Average Weekday",1269,7937
"30095","County of Lebanon Transit Authority","Weekend",617,3382
"30096","The Tri-County Council for the Lower Eastern Shore of Maryland","Annual Total",327545,7909804
"30096","The Tri-County Council for the Lower Eastern Shore of Maryland","Average Weekday",1118,39527
"30096","The Tri-County Council for the Lower Eastern Shore of Maryland","Weekend",778,7659
"30099","City of Winchester","Annual Total",139998,0
"30106","National Capital Region Transportation Planning Board","Annual Total",23151,0
"30107","West Virginia University - Morgantown Personal Rapid Transit","Annual Total",1961676,3623838
"30107","West Virginia University - Morgantown Personal Rapid Transit","Average Weekday",11342,21407
"30107","West Virginia University - Morgantown Personal Rapid Transit","Weekend",3854,8327
"30108","Cecil County Government - SSCT","Annual Total",96995,0
"30109","St. Mary's County Government","Annual Total",377493,0
"30111","Washington County Transportation Authority","Annual Total",293137,3141485
"30111","Washington County Transportation Authority","Average Weekday",1076,11795
"30111","Washington County Transportation Authority","Weekend",368,2765
"30112","DDOT - Progressive Transportation Services Administration","Annual Total",5816845,7063559
"30112","DDOT - Progressive Transportation Services Administration","Average Weekday",17945,21839
"30112","DDOT - Progressive Transportation Services Administration","Weekend",22348,26882
"30123","District Three Governmental Cooperative","Annual Total",166883,0
"30129","Anne Arundel County","Annual Total",279200,2354158
"30129","Anne Arundel County","Average Weekday",981,8085
"30129","Anne Arundel County","Weekend",527,3958
"30131","Board of County Commissioners of Calvert County, Maryland","Annual Total",112648,0
"30137","Monroe County Transportation  Authority","Annual Total",330011,3509906
"30137","Monroe County Transportation  Authority","Average Weekday",1225,13280
"30137","Monroe County Transportation  Authority","Weekend",493,3789
"30141","Butler Transit  Authority","Annual Total",202000,0
"30167","County of Carbon","Annual Total",52915,0
"30198","City of Suffolk","Annual Total",111906,0
"30199","New River Transit Authority","Annual Total",45049,0
"30200","City of Radford","Annual Total",328929,0
"30201","City of Baltimore","Annual Total",2961113,4600766
"30201","City of Baltimore","Average Weekday",8929,13395
"30201","City of Baltimore","Weekend",12674,21924
"30202","South Central Transit Authority","Annual Total",5169273,25740458
"30202","South Central Transit Authority","Average Weekday",17637,89489
"30202","South Central Transit Authority","Weekend",13004,56388
"30203","York County","Annual Total",83961,0
"30989","Central Shenandoah Planning District Commission","Annual Total",265469,0
"30990","Airport Corridor Transportation Association","Annual Total",83111,0
"31","Shoshone-Bannock Tribes","Annual Total",27091,0
"34","Rogue Valley Transportation District","Annual Total",1210070,6868264
"34","Rogue Valley Transportation District","Average Weekday",4405,23598
"34","Rogue Valley Transportation District","Weekend",1722,18988
"35","Washington State Ferries","Annual Total",24566419,193091082
"35","Washington State Ferries","Average Weekday",67920,533852
"35","Washington State Ferries","Weekend",131523,1033764
"36","Makah Tribal Council","Annual Total",6148,0
"373","Treasure Valley Transit","Annual Total",113617,0
"376","Ride Connection, Inc.","Annual Total",249464,919770
"376","Ride Connection, Inc.","Average Weekday",758,2108
"376","Ride Connection, Inc.","Weekend",73,163
"3R03-30117","Garrett County Community Action Committee, Inc","Annual Total",103076,0
"3R03-30130","Baltimore County Department of Aging","Annual Total",41991,0
"3R03-30155","Mayor and City Council Town of Ocean City","Annual Total",2432758,0
"3R03-30161","Dorchester County Council","Annual Total",108336,0
"3R03-30173","Bayrunners, Inc","Annual Total",8060,0
"3R03-30186","The County Commissioners of Caroline County, Maryland","Annual Total",97171,0
"3R03-30192","Queen Anne's County Department of Aging","Annual Total",26199,0
"3R03-60208","Greyhound Lines, Inc.","Annual Total",4500,0
"3R04-30116","Borough of Mt. Carmel","Annual Total",32660,0
"3R04-30124","Warren County Transit Authority","Annual Total",99779,0
"3R04-30127","Schuylkill Transportation System","Annual Total",252054,0
"3R04-30151","New Castle Area Transit Authority","Annual Total",579120,0
"3R04-30159","Susquehanna Transit Company","Annual Total",12159,0
"3R04-30170","Endless Mountains Transportation Authority","Annual Total",185751,0
"3R04-30171","Myers Coach Lines","Annual Total",16360,0
"3R04-30177","Indiana County Transit Authority","Annual Total",409875,0
"3R04-30185","Crawford Area Transportation Authority","Annual Total",384786,0
"3R04-30194","Mid-County Transit Authority","Annual Total",66570,0
"3R04-30196","Area Transportation Authority of North Central PA","Annual Total",444172,0
"3R04-30987","Intercity - Fullington Trailways","Annual Total",118980,0
"3R04-60208","Greyhound Lines, Inc.","Annual Total",63682,0
"3R05-30119","Central West Virginia Transit Authority","Annual Total",272928,0
"3R05-30121","Bluefield Area Transit","Annual Total",216051,0
"3R05-30122","Randolph County Senior Center","Annual Total",24601,0
"3R05-30135","Potomac Valley Transit Authority","Annual Total",92951,0
"3R05-30138","Barbour Co. Senior Center","Annual Total",25067,0
"3R05-30140","Mountain Transit Authority","Annual Total",35211,0
"3R05-30149","Fairmont Marion County Transit Authority","Annual Total",200121,0
"3R05-30162","Little Kanawha Transit Authority","Annual Total",42591,0
"3R05-30183","Tri River Transit","Annual Total",97116,0
"3R05-30190","Preston County Sr. Cit, Inc.","Annual Total",32694,0
"3R05-30992","Sistersville Ferry","Annual Total",4231,0
"3R05-50188","Baron's Bus Inc.","Annual Total",20602,0
"3R06-30069","City of Danville Mass Transit System","Annual Total",342492,0
"3R06-30114","Accomack-Northhampton Transportation District Comm","Annual Total",86770,0
"3R06-30115","Pulaski Area Transit","Annual Total",147447,0
"3R06-30118","Virginia Regional Transit","Annual Total",233284,0
"3R06-30132","Mountain Empire Older Citizens Transit","Annual Total",100058,0
"3R06-30142","Lake Area Bus","Annual Total",12739,0
"3R06-30147","Town of Chincoteague","Annual Total",14728,0
"3R06-30154","Greene Co. Transit Inc.","Annual Total",63081,0
"3R06-30157","Town of Altavista","Annual Total",19584,0
"3R06-30164","Town of Bluefield/Graham Transit","Annual Total",42374,0
"3R06-30165","Farmville Area Bus","Annual Total",157818,0
"3R06-30172","Bay Transit","Annual Total",138504,0
"3R06-30174","Four County Transit","Annual Total",150004,0
"3R06-30178","Unified Human Services Transportation Systems, Inc","Annual Total",72842,0
"3R06-30184","Blackstone Area Bus Service","Annual Total",36168,0
"3R06-31025","Greensville Emporia Transit System","Annual Total",3946,0
"3R06-31026","Dillion's Bus Service, Inc.","Annual Total",9434,0
"4","Confederated Tribes of the Colville Indian Reservation","Annual Total",154408,0
"40","Central Puget Sound Regional Transit Authority","Annual Total",48188694,534218246
"40","Central Puget Sound Regional Transit Authority","Average Weekday",160304,1866660
"40","Central Puget Sound Regional Transit Authority","Weekend",134651,1260691
"400","Gwichyaa Zhee Tribal Transit Service","Annual Total",8883,0
"40001","Chattanooga Area Regional Transportation Authority","Annual Total",2794851,8598596
"40001","Chattanooga Area Regional Transportation Authority","Average Weekday",8606,27758
"40001","Chattanooga Area Regional Transportation Authority","Weekend",11053,27765
"40002","City of Knoxville","Annual Total",2694623,8265555
"40002","City of Knoxville","Average Weekday",9040,27919
"40002","City of Knoxville","Weekend",7096,22153
"40003","City of Memphis","Annual Total",6677024,35324833
"40003","City of Memphis","Average Weekday",24739,123689
"40003","City of Memphis","Weekend",17925,81438
"40004","Metropolitan Transit Authority","Annual Total",9787815,48338981
"40004","Metropolitan Transit Authority","Average Weekday",32158,159065
"40004","Metropolitan Transit Authority","Weekend",27379,117793
"40005","City of Asheville","Annual Total",1964651,5317151
"40005","City of Asheville","Average Weekday",6342,18156
"40005","City of Asheville","Weekend",6682,21263
"40006","Cape Fear Public Transportation Authority","Annual Total",1371635,4265371
"40006","Cape Fear Public Transportation Authority","Average Weekday",4852,13408
"40006","Cape Fear Public Transportation Authority","Weekend",2964,17769
"40007","City of Raleigh","Annual Total",5552645,22047549
"40007","City of Raleigh","Average Weekday",16222,61159
"40007","City of Raleigh","Weekend",15719,59483
"40008","City of Charlotte North Carolina","Annual Total",22516607,116204351
"40008","City of Charlotte North Carolina","Average Weekday",73194,384971
"40008","City of Charlotte North Carolina","Weekend",72825,340256
"40009","City of Fayetteville","Annual Total",1442314,6201569
"40009","City of Fayetteville","Average Weekday",4928,21165
"40009","City of Fayetteville","Weekend",3946,17243
"40010","City of Gastonia","Annual Total",194522,0
"40011","City of High Point","Annual Total",1051696,0
"40012","City of Winston Salem","Annual Total",2557188,10137546
"40012","City of Winston Salem","Average Weekday",7297,29507
"40012","City of Winston Salem","Weekend",13554,50164
"40014","Ms Coast Transportation Authority","Annual Total",800637,7521062
"40014","Ms Coast Transportation Authority","Average Weekday",2549,26595
"40014","Ms Coast Transportation Authority","Weekend",2658,12264
"40015","City of Jackson, MS","Annual Total",562032,1306672
"40015","City of Jackson, MS","Average Weekday",1988,4652
"40015","City of Jackson, MS","Weekend",1018,2223
"40016","City of Ashland","Annual Total",126631,0
"40017","Lexington Transit Authority","Annual Total",4171173,20255977
"40017","Lexington Transit Authority","Average Weekday",14320,68575
"40017","Lexington Transit Authority","Weekend",9785,50322
"40018","Transit Authority of River City","Annual Total",12461759,52275078
"40018","Transit Authority of River City","Average Weekday",41238,167719
"40018","Transit Authority of River City","Weekend",28779,123473
"40019","Transit Authority of Northern Kentucky","Annual Total",3090565,21165360
"40019","Transit Authority of Northern Kentucky","Average Weekday",10508,73926
"40019","Transit Authority of Northern Kentucky","Weekend",7294,40417
"40020","City of Owensboro","Annual Total",260600,0
"40021","City of Albany","Annual Total",780532,4126577
"40021","City of Albany","Average Weekday",2725,14593
"40021","City of Albany","Weekend",1492,8687
"40022","Metropolitan Atlanta Rapid Transit Authority","Annual Total",120162922,705533205
"40022","Metropolitan Atlanta Rapid Transit Authority","Average Weekday",385505,2293202
"40022","Metropolitan Atlanta Rapid Transit Authority","Weekend",406677,2243569
"40023","Augusta Richmond County Transit Department","Annual Total",688686,2524477
"40023","Augusta Richmond County Transit Department","Average Weekday",2432,8830
"40023","Augusta Richmond County Transit Department","Weekend",1367,5416
"40024","Columbus Consolidated Government","Annual Total",1315422,0
"40025","Chatham Area Transit Authority","Annual Total",3909196,8906227
"40025","Chatham Area Transit Authority","Average Weekday",12233,37059
"40025","Chatham Area Transit Authority","Weekend",16024,37413
"40026","Manatee County Board of County Commissioners","Annual Total",1465988,6829794
"40026","Manatee County Board of County Commissioners","Average Weekday",4743,22520
"40026","Manatee County Board of County Commissioners","Weekend",4990,20541
"40027","Pinellas Suncoast Transit Authority","Annual Total",11914283,58789653
"40027","Pinellas Suncoast Transit Authority","Average Weekday",38387,188874
"40027","Pinellas Suncoast Transit Authority","Weekend",39207,195102
"40028","Lee County","Annual Total",3326605,20720059
"40028","Lee County","Average Weekday",10692,66583
"40028","Lee County","Weekend",11619,72607
"40029","Broward County Board of County Commissioners","Annual Total",28641675,146623042
"40029","Broward County Board of County Commissioners","Average Weekday",94094,486121
"40029","Broward County Board of County Commissioners","Weekend",86889,423417
"40030","City of Gainesville, FL","Annual Total",9405851,28812266
"40030","City of Gainesville, FL","Average Weekday",35787,105274
"40030","City of Gainesville, FL","Weekend",8567,29616
"40031","Lakeland Area Mass Transit District","Annual Total",1252599,7206832
"40031","Lakeland Area Mass Transit District","Average Weekday",4763,27450
"40031","Lakeland Area Mass Transit District","Weekend",942,5314
"40032","County of Volusia","Annual Total",3541770,16930526
"40032","County of Volusia","Average Weekday",11650,57604
"40032","County of Volusia","Weekend",10907,44669
"40034","County of Miami-Dade","Annual Total",81940228,512070544
"40034","County of Miami-Dade","Average Weekday",269215,1666800
"40034","County of Miami-Dade","Weekend",252114,1616860
"40035","Central Florida Regional Transportation Authority","Annual Total",25117921,153806087
"40035","Central Florida Regional Transportation Authority","Average Weekday",79673,475150
"40035","Central Florida Regional Transportation Authority","Weekend",89202,529249
"40036","City of Tallahassee","Annual Total",3419967,10161914
"40036","City of Tallahassee","Average Weekday",13203,38200
"40036","City of Tallahassee","Weekend",5272,16831
"40037","Board of County Commissioners, Palm Beach County","Annual Total",10113027,64307736
"40037","Board of County Commissioners, Palm Beach County","Average Weekday",34655,217386
"40037","Board of County Commissioners, Palm Beach County","Weekend",24982,162619
"40038","Escambia County Board of County Commissioners, FL","Annual Total",1546773,7945620
"40038","Escambia County Board of County Commissioners, FL","Average Weekday",5656,28483
"40038","Escambia County Board of County Commissioners, FL","Weekend",2575,15772
"40040","Jacksonville Transportation Authority","Annual Total",12093048,69629180
"40040","Jacksonville Transportation Authority","Average Weekday",39988,228615
"40040","Jacksonville Transportation Authority","Weekend",33682,201627
"40041","Hillsborough Area Regional Transit Authority","Annual Total",12182690,72011177
"40041","Hillsborough Area Regional Transit Authority","Average Weekday",39417,244526
"40041","Hillsborough Area Regional Transit Authority","Weekend",40291,186203
"40042","Birmingham-Jefferson County Transit Authority","Annual Total",3342991,20041918
"40042","Birmingham-Jefferson County Transit Authority","Average Weekday",11988,70062
"40042","Birmingham-Jefferson County Transit Authority","Weekend",6327,36743
"40043","City of Mobile","Annual Total",934781,6296519
"40043","City of Mobile","Average Weekday",3065,21459
"40043","City of Mobile","Weekend",2694,19095
"40044","City of Montgomery","Annual Total",632970,2893365
"40044","City of Montgomery","Average Weekday",2355,10966
"40044","City of Montgomery","Weekend",711,2727
"40045","Tuscaloosa County Parking and Transit Authority","Annual Total",282674,0
"40046","Sarasota County","Annual Total",2605286,13635006
"40046","Sarasota County","Average Weekday",8379,43326
"40046","Sarasota County","Weekend",9031,48868
"40047","Athens-Clarke County Unified Government","Annual Total",1549938,5630382
"40047","Athens-Clarke County Unified Government","Average Weekday",5255,18643
"40047","Athens-Clarke County Unified Government","Weekend",3403,14878
"40049","City of Gadsden","Annual Total",103529,0
"40051","Town of Chapel Hill","Annual Total",6585698,12400242
"40051","Town of Chapel Hill","Average Weekday",25242,47258
"40051","Town of Chapel Hill","Weekend",3665,6210
"40053","Greenville Transit Authority","Annual Total",856275,4357263
"40053","Greenville Transit Authority","Average Weekday",2829,15099
"40053","Greenville Transit Authority","Weekend",2717,10331
"40054","City of Johnson City","Annual Total",635959,0
"40055","City of Bristol Tennessee","Annual Total",54320,0
"40056","Pee Dee Regional Transportation Authority","Annual Total",250173,0
"40057","Jackson Transit Authority","Annual Total",470165,2624472
"40057","Jackson Transit Authority","Average Weekday",1586,8659
"40057","Jackson Transit Authority","Weekend",1320,8398
"40058","City of Rome","Annual Total",1090576,5010744
"40058","City of Rome","Average Weekday",4362,20042
"40060","City of Hattiesburg","Annual Total",81064,0
"40063","Brevard Board of County Commissioners","Annual Total",2628223,19189776
"40063","Brevard Board of County Commissioners","Average Weekday",9370,70068
"40063","Brevard Board of County Commissioners","Weekend",4512,25410
"40064","East Alabama Regional Planning and Development Commission","Annual Total",270580,0
"40068","Northwest Alabama Council of Local Governments","Annual Total",106555,1028040
"40068","Northwest Alabama Council of Local Governments","Average Weekday",377,3857
"40071","City of Huntsville, Alabama","Annual Total",741584,4047424
"40071","City of Huntsville, Alabama","Average Weekday",2952,16113
"40071","City of Huntsville, Alabama","Weekend",7,19
"40073","Lee-Russell Council of Governments","Annual Total",105959,0
"40074","Pasco County Board of County Commissioners","Annual Total",889925,5304370
"40074","Pasco County Board of County Commissioners","Average Weekday",3157,18768
"40074","Pasco County Board of County Commissioners","Weekend",1770,10225
"40077","South Florida Regional Transportation Authority","Annual Total",5217786,124077030
"40077","South Florida Regional Transportation Authority","Average Weekday",17624,406358
"40077","South Florida Regional Transportation Authority","Weekend",15496,428391
"40078","Cobb County","Annual Total",2543584,18415986
"40078","Cobb County","Average Weekday",9395,70538
"40078","Cobb County","Weekend",3439,27430
"40080","City of Kingsport","Annual Total",161482,0
"40081","City of Anderson","Annual Total",339946,0
"40082","County of Douglas","Annual Total",96254,2871717
"40082","County of Douglas","Average Weekday",390,11626
"40086","Metropolitan Bus Authority","Annual Total",3286154,20892652
"40086","Metropolitan Bus Authority","Average Weekday",11884,75554
"40086","Metropolitan Bus Authority","Weekend",6172,39238
"40087","City of Durham","Annual Total",6935300,23085560
"40087","City of Durham","Average Weekday",22256,75061
"40087","City of Durham","Weekend",24504,76532
"40092","City of Clarksville","Annual Total",696387,0
"40093","City of Greensboro","Annual Total",3698014,9778499
"40093","City of Greensboro","Average Weekday",12455,33656
"40093","City of Greensboro","Weekend",9476,26503
"40094","Alternativa de Transporte Integrado -ATI","Annual Total",4998498,22741894
"40094","Alternativa de Transporte Integrado -ATI","Average Weekday",22997,106611
"40094","Alternativa de Transporte Integrado -ATI","Weekend",13325,63285
"40095","City of Greenville","Annual Total",410166,0
"40096","City of Rocky Mount","Annual Total",377019,0
"40097","Council on Aging of St. Lucie, Inc.","Annual Total",537177,3441130
"40097","Council on Aging of St. Lucie, Inc.","Average Weekday",1998,12990
"40097","Council on Aging of St. Lucie, Inc.","Weekend",741,3796
"401","Lower Elwha Klallam Tribe","Annual Total",1113,0
"40100","Santee Wateree Regional Transportation Authority","Annual Total",163605,1615174
"40100","Santee Wateree Regional Transportation Authority","Average Weekday",650,6428
"40101","Spartanburg Transit System","Annual Total",390364,0
"40102","Waccamaw Regional Transportation Authority","Annual Total",523281,0
"40103","Wiregrass Transit Authority","Annual Total",115400,0
"40104","Indian River County","Annual Total",1252840,5972876
"40104","Indian River County","Average Weekday",4585,22330
"40104","Indian River County","Weekend",2173,8370
"40105","Puerto Rico Highway and Transportation Authority - Público","Annual Total",12888313,52179019
"40105","Puerto Rico Highway and Transportation Authority - Público","Average Weekday",49827,202463
"40105","Puerto Rico Highway and Transportation Authority - Público","Weekend",27578,108317
"40108","Research Triangle Regional Public Transportation Authority","Annual Total",1890411,25063729
"40108","Research Triangle Regional Public Transportation Authority","Average Weekday",7044,95307
"40108","Research Triangle Regional Public Transportation Authority","Weekend",2354,23996
"40110","Charleston Area Regional Transportation Authority","Annual Total",3185850,16791857
"40110","Charleston Area Regional Transportation Authority","Average Weekday",11379,58883
"40110","Charleston Area Regional Transportation Authority","Weekend",7492,33812
"40112","City of San Juan","Annual Total",404083,0
"40114","Municipality of Aguada","Annual Total",2149,0
"40115","Municipality of Caguas","Annual Total",176498,0
"40117","Municipality of Vega Baja","Annual Total",48813,0
"40120","City of Ocala, Florida","Annual Total",430967,2254963
"40120","City of Ocala, Florida","Average Weekday",1471,7285
"40120","City of Ocala, Florida","Weekend",1104,6078
"40121","Municipality of Hormigueros","Annual Total",40178,0
"40122","Municipality of Cayey","Annual Total",37724,0
"40123","Municipality of Gurabo","Annual Total",15118,0
"40125","Municipality of Carolina","Annual Total",503278,0
"40126","Municipality of Humacao","Annual Total",40081,0
"40128","Okaloosa County Board of County Commissioners","Annual Total",217134,867667
"40128","Okaloosa County Board of County Commissioners","Average Weekday",830,3063
"40128","Okaloosa County Board of County Commissioners","Weekend",135,1634
"40129","Charlotte County Government","Annual Total",134554,1384575
"40129","Charlotte County Government","Average Weekday",517,5370
"40129","Charlotte County Government","Weekend",106,838
"40130","Macon-Bibb County Transit Authority","Annual Total",756070,0
"40131","Davidson County","Annual Total",167178,0
"40132","Goldsboro-Wayne Transportation Authority","Annual Total",276116,0
"40133","Guilford County","Annual Total",49177,0
"40137","Municipality of Bayamon","Annual Total",251182,0
"40138","Gwinnett County Board of Commissioners","Annual Total",1521536,19586037
"40138","Gwinnett County Board of Commissioners","Average Weekday",5404,71941
"40138","Gwinnett County Board of Commissioners","Weekend",2104,16088
"40140","Collier County","Annual Total",947217,7441092
"40140","Collier County","Average Weekday",3013,24255
"40140","Collier County","Weekend",3414,24930
"40141","Central Midlands Regional Transportation Authority","Annual Total",2648442,7430770
"40141","Central Midlands Regional Transportation Authority","Average Weekday",8743,21029
"40141","Central Midlands Regional Transportation Authority","Weekend",7857,3078
"40143","Town of Cary","Annual Total",252624,0
"40144","Hall Area Transit","Annual Total",154283,0
"40145","Municipality of Manati","Annual Total",21943,0
"40146","Hernando County Board of County Commissioners","Annual Total",141291,0
"40147","North Carolina State University","Annual Total",3506210,5126387
"40147","North Carolina State University","Average Weekday",16356,24549
"40147","North Carolina State University","Weekend",2602,3519
"40150","Municipality of Barceloneta","Annual Total",58259,0
"40151","Municipality of Hatillo","Annual Total",3863,0
"40155","St Johns County, Florida","Annual Total",355738,0
"40156","Lower Savannah COG","Annual Total",36107,0
"40158","Lake County Board of County Commissioners","Annual Total",447962,3431033
"40158","Lake County Board of County Commissioners","Average Weekday",1740,13271
"40158","Lake County Board of County Commissioners","Weekend",206,1875
"40159","Regional Transportation Authority","Annual Total",614366,16139396
"40159","Regional Transportation Authority","Average Weekday",2406,63091
"40160","Municipality of Camuy","Annual Total",14991,0
"40161","Cherokee County Board of Commissioners","Annual Total",77076,0
"40162","City of Franklin","Annual Total",77620,0
"40163","Municipality of Catano","Annual Total",4445,0
"40164","Municipality of Fajardo","Annual Total",50888,0
"40165","Municipality of Juncos","Annual Total",47969,0
"40166","City of Jacksonville","Annual Total",139767,0
"40167","City of Concord","Annual Total",416100,0
"40169","Regional Planning Commission of Greater Birmingham","Annual Total",75878,4171055
"40169","Regional Planning Commission of Greater Birmingham","Average Weekday",287,15803
"40169","Regional Planning Commission of Greater Birmingham","Weekend",29,1278
"40170","Southeast Tennessee Human Resource Agency -Cleveland Urban Area Transit System Division","Annual Total",144667,0
"40171","Knoxville-Knox County Community Action Committee","Annual Total",157621,2034819
"40171","Knoxville-Knox County Community Action Committee","Average Weekday",569,7291
"40171","Knoxville-Knox County Community Action Committee","Weekend",183,2770
"40172","Western Piedmont Regional Transit Authority","Annual Total",244524,1777456
"40172","Western Piedmont Regional Transit Authority","Average Weekday",928,6890
"40172","Western Piedmont Regional Transit Authority","Weekend",237,1323
"40173","Piedmont Authority for Regional Transportation","Annual Total",681905,19871071
"40173","Piedmont Authority for Regional Transportation","Average Weekday",2533,74070
"40173","Piedmont Authority for Regional Transportation","Weekend",557,13930
"40174","Municipality of Yauco","Annual Total",103317,0
"40175","Puerto Rico Maritime Transport Authority","Annual Total",1249490,11287502
"40175","Puerto Rico Maritime Transport Authority","Average Weekday",3246,32067
"40175","Puerto Rico Maritime Transport Authority","Weekend",8011,58476
"40178","The Transportation Management Association Group","Annual Total",107212,4440169
"40178","The Transportation Management Association Group","Average Weekday",434,17976
"40180","University of Georgia","Annual Total",5753656,6215385
"40180","University of Georgia","Average Weekday",23564,25313
"40180","University of Georgia","Weekend",1828,3583
"40181","Henry County","Annual Total",71753,0
"40182","Municipality of Toa Baja","Annual Total",76903,0
"40183","Municipality of San Sebastian","Annual Total",7989,0
"40184","Community Action of Southern Kentucky","Annual Total",87727,0
"40186","City of Murfreesboro","Annual Total",232179,0
"40187","York County Council on Aging","Annual Total",22476,0
"40188","Virgin Islands Department of Public Works","Annual Total",327899,0
"40190","East Tennessee Human Resource Agency, Inc.","Annual Total",268722,0
"40191","Transit Authority of Central Kentucky","Annual Total",180090,3771853
"40191","Transit Authority of Central Kentucky","Average Weekday",690,14573
"40191","Transit Authority of Central Kentucky","Weekend",73,676
"40192","Martin County","Annual Total",90288,707414
"40192","Martin County","Average Weekday",356,2789
"40193","City of Hinesville, Georgia","Annual Total",18317,0
"40194","Municipality of Mayaguez","Annual Total",152546,0
"40195","Municipality of San Lorenzo","Annual Total",73167,0
"40196","Kentuckiana Regional Planning and Development Agency","Annual Total",174330,6339543
"40196","Kentuckiana Regional Planning and Development Agency","Average Weekday",694,25187
"40196","Kentuckiana Regional Planning and Development Agency","Weekend",23,568
"40197","Municipality of Lares","Annual Total",12955,0
"40198","Municipality of Dorado","Annual Total",64373,0
"40200","Tampa Bay Area Regional Transit Authority","Annual Total",223601,7290643
"40200","Tampa Bay Area Regional Transit Authority","Average Weekday",844,27644
"40200","Tampa Bay Area Regional Transit Authority","Weekend",80,1965
"40201","Municipality of Guaynabo","Annual Total",309268,0
"40203","Enterprise Rideshare","Annual Total",731196,28992306
"40203","Enterprise Rideshare","Average Weekday",2766,109618
"40203","Enterprise Rideshare","Weekend",178,7347
"40204","Mid-Cumberland Human Resource Agency","Annual Total",237953,0
"40205","The County of Iredell","Annual Total",127396,0
"40206","Berkeley Charleston Dorchester RTMA","Annual Total",93241,0
"40208","City of Clemson","Annual Total",1603468,4078830
"40208","City of Clemson","Average Weekday",5663,14568
"40208","City of Clemson","Weekend",2483,5598
"40209","Hoke County","Annual Total",58482,0
"40210","Craven County","Annual Total",64167,0
"40213","Autauga County Commission","Annual Total",42011,0
"40214","Cabarrus County","Annual Total",82116,0
"40215","Union County","Annual Total",73793,0
"40217","Rowan County","Annual Total",92752,0
"40218","Oldham's Public Bus","Annual Total",16099,0
"40220","Pitt County","Annual Total",46341,0
"40221","Gaston County","Annual Total",107393,0
"40222","Wake County","Annual Total",180328,2477989
"40222","Wake County","Average Weekday",665,9802
"40222","Wake County","Weekend",269,2399
"40223","Cumberland County","Annual Total",34187,0
"40224","Buncombe County","Annual Total",131689,1340845
"40224","Buncombe County","Average Weekday",483,4958
"40224","Buncombe County","Weekend",135,1185
"40225","Alamance County Transportation Authority","Annual Total",76577,0
"40226","Mountain Projects, Inc.","Annual Total",31925,0
"40227","Onslow United Transit System","Annual Total",85928,0
"40228","Mecklenburg County","Annual Total",412899,3379157
"40228","Mecklenburg County","Average Weekday",277,2580
"40229","Henderson County","Annual Total",76541,0
"40230","City of Atlanta","Annual Total",387978,364699
"40230","City of Atlanta","Average Weekday",1011,1015
"40230","City of Atlanta","Weekend",2385,1913
"40231","Orange County","Annual Total",54013,0
"40232","Central Florida Commuter Rail","Annual Total",831460,12044554
"40232","Central Florida Commuter Rail","Average Weekday",3359,48658
"40233","City of Salisbury","Annual Total",148897,0
"40234","Autonomous Municipality of Ponce","Annual Total",453850,0
"40237","Lancaster County Council on Aging","Annual Total",24785,0
"40238","City of Coconut Creek","Annual Total",100422,0
"40239","City of Deerfield Beach","Annual Total",55001,0
"40240","City of Lighthouse Point","Annual Total",10968,0
"40241","City of Miramar","Annual Total",120725,0
"40244","Spartanburg Regional Health Services, Inc.","Annual Total",139701,2427722
"40244","Spartanburg Regional Health Services, Inc.","Average Weekday",519,9195
"40244","Spartanburg Regional Health Services, Inc.","Weekend",98,891
"40246","Center for Pan Asian Community Services, Inc.","Annual Total",21201,0
"40247","Shelby County Government","Annual Total",49857,0
"40248","Town of Hillsboro Beach","Annual Total",11238,0
"40249","City of Hallandale Beach","Annual Total",278559,0
"40250","City of Lauderdale Lakes","Annual Total",91498,0
"40251","City of Pembroke Pines","Annual Total",189097,0
"40252","City Of Burlington","Annual Total",90195,0
"40253","City of Coral Springs","Annual Total",56699,0
"40254","City of Lauderhill","Annual Total",491438,0
"40255","City of Hollywood","Annual Total",86339,0
"40256","City of Margate","Annual Total",108690,0
"40257","City of Pompano Beach","Annual Total",81806,0
"40258","The Looper Group, Inc.","Annual Total",45437,55429
"40258","The Looper Group, Inc.","Average Weekday",111,142
"40258","The Looper Group, Inc.","Weekend",324,364
